seed,intermediate_domains,self_train_accuracy,weight_shift,sharpness,weight_norm
5,10,83.8,0.3100000023841858, 0.019999999552965164, 12.03
6,10,78.0,0.2800000011920929, 0.019999999552965164, 12.44
7,10,74.35,0.3400000035762787, 0.03999999910593033, 12.84
8,10,78.7,0.30000001192092896, 0.019999999552965164, 11.96
9,10,84.35,0.3100000023841858, 0.05999999865889549, 12.29
10,10,84.35,0.3199999928474426, 0.03999999910593033, 12.42
11,10,84.25,0.28999999165534973, 0.019999999552965164, 12.38
12,10,82.35,0.33000001311302185, 0.019999999552965164, 12.03
13,10,85.7,0.3199999928474426, 0.019999999552965164, 11.82
14,10,82.6,0.3100000023841858, 0.05999999865889549, 12.18
15,10,73.75,0.38999998569488525, 0.029999999329447746, 11.71
16,10,81.9,0.30000001192092896, 0.019999999552965164, 12.57
17,10,77.75,0.30000001192092896, 0.029999999329447746, 11.9
18,10,82.35,0.3400000035762787, 0.05000000074505806, 12.63
19,10,73.05,0.3400000035762787, 0.03999999910593033, 12.15
