seed,intermediate_domains,self_train_accuracy,weight_shift,sharpness,weight_norm
0,1,74.3,0.6499999761581421, 0.03999999910593033, 8.73
1,1,70.65,0.7599999904632568, 0.009999999776482582, 7.92
2,1,73.6,0.7099999785423279, 0.0, 8.1
3,1,73.95,0.7200000286102295, 0.27000001072883606, 8.94
4,1,74.05,0.5699999928474426, 0.0, 9.07
0,1,73.6,0.6800000071525574, 0.019999999552965164, 9.17
1,1,70.9,0.6800000071525574, 0.029999999329447746, 8.31
2,1,81.6,0.3100000023841858, 0.0, 8.26
3,1,79.35,0.550000011920929, -0.0, 9.01
4,1,75.3,0.5299999713897705, -0.0, 8.42
5,1,80.0,0.4699999988079071, 0.0, 8.59
6,1,72.4,0.550000011920929, -0.0, 8.54
7,1,78.95,0.5699999928474426, 0.0, 9.22
8,1,76.75,0.3400000035762787, 0.0, 8.56
9,1,78.5,0.44999998807907104, -0.0, 8.84
10,1,76.4,0.6100000143051147, 0.0, 9.53
11,1,81.65,0.5600000023841858, 0.0, 8.98
12,1,73.85,0.6499999761581421, -0.0, 8.05
13,1,77.1,0.47999998927116394, -0.0, 8.77
14,1,77.65,0.6399999856948853, 0.0, 8.95
