seed,intermediate_domains,self_train_accuracy,weight_shift,sharpness,weight_norm
5,20,67.2,0.23000000417232513, 0.0, 11.21
6,20,84.8,0.2800000011920929, 0.0, 13.56
7,20,85.35,0.25999999046325684, 0.0, 12.5
8,20,67.3,0.23000000417232513, 0.0, 11.33
9,20,85.35,0.30000001192092896, 0.0, 12.74
10,20,81.9,0.27000001072883606, 0.0, 12.92
11,20,85.6,0.2800000011920929, 0.0, 12.38
12,20,82.1,0.3100000023841858, -0.009999999776482582, 11.97
13,20,78.05,0.27000001072883606, 0.0, 13.19
14,20,79.9,0.23999999463558197, 0.0, 11.79
15,20,86.1,0.28999999165534973, 0.0, 12.81
16,20,83.05,0.25999999046325684, 0.0, 13.01
17,20,84.7,0.25999999046325684, 0.0, 12.91
18,20,83.75,0.2800000011920929, 0.0, 13.04
19,20,83.95,0.25, 0.0, 12.59
