seed,intermediate_domains,self_train_accuracy,weight_shift,sharpness,weight_norm
0,2,80.75,0.6100000143051147, 0.0, 9.24
1,2,85.55,0.5699999928474426, -0.009999999776482582, 9.73
2,2,84.25,0.4699999988079071, -0.029999999329447746, 9.76
3,2,85.45,0.5899999737739563, 0.009999999776482582, 9.98
4,2,73.8,0.5299999713897705, -0.009999999776482582, 9.32
0,2,77.45,0.6100000143051147, -0.0, 9.88
1,2,75.25,0.6200000047683716, 0.019999999552965164, 9.03
2,2,80.35,0.5600000023841858, -0.0, 9.86
3,2,81.1,0.5600000023841858, -0.029999999329447746, 9.97
4,2,75.5,0.5400000214576721, 0.0, 9.24
5,2,79.65,0.4099999964237213, -0.0, 9.1
6,2,80.55,0.5400000214576721, 0.09000000357627869, 9.86
7,2,81.7,0.5199999809265137, -0.019999999552965164, 10.18
8,2,82.75,0.5099999904632568, 0.0, 9.69
9,2,81.05,0.5400000214576721, 0.0, 9.85
10,2,83.35,0.5099999904632568, 0.12999999523162842, 9.37
11,2,70.7,0.6000000238418579, 0.019999999552965164, 9.4
12,2,79.75,0.47999998927116394, -0.0, 9.33
13,2,83.55,0.6000000238418579, -0.30000001192092896, 9.52
14,2,80.8,0.6399999856948853, 0.03999999910593033, 9.59
