seed0with1gt2generated,22.75,24.9,22.75,23.85,0,0,0.4000000059604645,0.6899999976158142, 1.059999942779541
seed1with1gt2generated,52.15,53.1,52.15,66.35,0,0,0.27000001072883606,0.25, 0.9900000095367432
seed2with1gt2generated,45.2,47.8,45.2,54.6,0,0,0.3100000023841858,1.1200000047683716, 0.9700000286102295
seed3with1gt2generated,9.55,10.2,9.55,20.3,0,0,0.4699999988079071,0.11999999731779099, 0.8100000023841858
seed4with1gt2generated,19.15,19.9,19.15,25.45,0,0,0.3400000035762787,0.9399999976158142, 1.4199999570846558
seed5with1gt2generated,58.25,60.75,58.25,70.6,0,0,0.23999999463558197,0.9300000071525574, 1.0099999904632568
seed6with1gt2generated,26.7,31.05,26.7,52.4,0,0,0.28999999165534973,0.46000000834465027, 0.6700000166893005
seed7with1gt2generated,39.8,40.95,39.8,54.6,0,0,0.25,1.100000023841858, 0.8299999833106995
seed8with1gt2generated,36.4,42.5,36.4,42.3,0,0,0.33000001311302185,1.190000057220459, 1.190000057220459
seed9with1gt2generated,27.55,33.45,27.55,48.1,0,0,0.3700000047683716,0.17000000178813934, 0.7699999809265137
