seed,intermediate_domains,self_train_accuracy,weight_shift,sharpness,weight_norm
0,5,46.69,1.0199999809265137, -0.0, 63.04
1,5,49.7,0.9800000190734863, 0.009999999776482582, 65.08
2,5,45.54,1.0099999904632568, 0.009999999776482582, 65.59
0,5,52.82,1.0199999809265137, 0.019999999552965164, 62.41
1,5,46.42,1.0499999523162842, -0.0, 64.19
2,5,54.99,1.0099999904632568, 0.0, 65.1
3,5,57.83,0.9599999785423279, -0.0, 65.95
4,5,51.82,1.0099999904632568, 0.0, 65.92
5,5,42.69,1.0299999713897705, -0.009999999776482582, 64.53
6,5,51.74,1.0299999713897705, 0.009999999776482582, 66.28
7,5,50.64,1.0199999809265137, 0.0, 65.1
8,5,55.06,1.0199999809265137, 0.009999999776482582, 65.48
9,5,44.56,1.0299999713897705, 0.019999999552965164, 65.27
10,5,44.0,1.0099999904632568, -0.0, 64.11
0,5,52.1,1.0299999713897705, 0.019999999552965164, 63.52
1,5,50.51,1.0099999904632568, 0.0, 64.92
2,5,54.56,1.0099999904632568, 0.009999999776482582, 64.64
3,5,61.62,0.9700000286102295, 0.009999999776482582, 65.78
4,5,57.5,0.9900000095367432, 0.0, 65.53
5,5,64.56,0.9700000286102295, -0.0, 65.54
