seed,intermediate_domains,self_train_accuracy,weight_shift,sharpness,weight_norm
5,50,78.55,0.2199999988079071, 0.09000000357627869, 13.31
6,50,53.6,0.25, 0.11999999731779099, 11.91
7,50,53.6,0.07000000029802322, 0.0, 11.21
8,50,46.4,0.23999999463558197, 0.029999999329447746, 12.02
9,50,71.85,0.2199999988079071, 0.03999999910593033, 12.72
10,50,46.4,0.20999999344348907, 0.019999999552965164, 12.08
11,50,53.6,0.23000000417232513, 0.18000000715255737, 13.55
12,50,53.6,0.10000000149011612, 0.009999999776482582, 10.36
13,50,69.7,0.23000000417232513, 0.2199999988079071, 14.17
14,50,78.35,0.20000000298023224, 0.12999999523162842, 12.43
15,50,53.6,0.10999999940395355, 0.009999999776482582, 10.52
16,50,76.25,0.23000000417232513, 0.019999999552965164, 13.83
17,50,53.6,0.07999999821186066, 0.009999999776482582, 10.9
18,50,75.5,0.2199999988079071, 0.019999999552965164, 12.22
19,50,53.6,0.10999999940395355, 0.009999999776482582, 10.56
