seed,intermediate_domains,self_train_accuracy,weight_shift,sharpness,weight_norm
0,5,50.92,0.9900000095367432, 0.029999999329447746, 70.26
1,5,46.2,1.0299999713897705, 0.05999999865889549, 71.18
2,5,50.14,0.9800000190734863, 0.03999999910593033, 71.97
3,5,48.19,1.0299999713897705, 0.10999999940395355, 73.23
4,5,44.74,1.090000033378601, 0.019999999552965164, 69.4
5,5,55.66,1.0099999904632568, 0.019999999552965164, 71.38
6,5,43.82,1.0199999809265137, 0.07000000029802322, 71.37
7,5,46.28,0.9700000286102295, 0.11999999731779099, 72.1
8,5,47.5,1.0, 0.03999999910593033, 69.97
9,5,43.51,1.059999942779541, 0.05000000074505806, 72.72
10,5,46.78,0.9900000095367432, 0.05999999865889549, 70.97
11,5,35.77,0.9599999785423279, 0.03999999910593033, 75.97
12,5,43.33,0.9900000095367432, 0.07999999821186066, 72.4
13,5,51.42,1.0, -0.009999999776482582, 70.37
14,5,41.15,1.0299999713897705, 0.09000000357627869, 71.88
15,5,55.56,0.9700000286102295, 0.05000000074505806, 74.08
16,5,38.0,1.0099999904632568, 0.07000000029802322, 72.52
17,5,43.91,1.0, 0.14000000059604645, 73.63
18,5,42.04,1.0199999809265137, -0.009999999776482582, 72.35
19,5,41.66,1.0199999809265137, 0.05000000074505806, 72.31
