seed,intermediate_domains,self_train_accuracy,weight_shift,sharpness,weight_norm
0,3,39.27,1.3200000524520874, 0.019999999552965164, 74.55
1,3,41.61,1.3700000047683716, 0.009999999776482582, 75.84
2,3,41.89,1.3899999856948853, 0.0, 75.82
3,3,44.19,1.3600000143051147, 0.009999999776482582, 76.01
4,3,51.01,1.3200000524520874, -0.0, 74.3
5,3,45.75,1.2999999523162842, 0.009999999776482582, 75.45
6,3,44.76,1.340000033378601, 0.019999999552965164, 76.53
7,3,44.79,1.2699999809265137, 0.009999999776482582, 74.76
8,3,44.46,1.3200000524520874, -0.009999999776482582, 75.85
9,3,47.05,1.309999942779541, -0.0, 76.87
