seed,intermediate_domains,self_train_accuracy,weight_shift,sharpness,weight_norm
0,2,34.38,1.5299999713897705, 0.07000000029802322, 81.3
1,2,33.4,1.559999942779541, 0.17000000178813934, 81.48
2,2,40.71,1.809999942779541, 0.10999999940395355, 78.4
3,2,37.55,1.4299999475479126, 0.10000000149011612, 82.54
4,2,43.4,1.4600000381469727, 0.10000000149011612, 80.9
5,2,40.16,1.399999976158142, 0.07999999821186066, 79.67
6,2,33.83,1.4600000381469727, 0.1599999964237213, 80.92
7,2,39.6,1.3899999856948853, 0.05000000074505806, 81.77
8,2,33.94,1.5199999809265137, 0.12999999523162842, 80.51
9,2,33.63,1.559999942779541, 0.11999999731779099, 78.37
