seed,intermediate_domains,self_train_accuracy,weight_shift,sharpness,weight_norm
0,1,34.48,2.0799999237060547, 0.03999999910593033, 72.17
1,1,33.36,1.690000057220459, -0.009999999776482582, 75.19
2,1,33.88,1.9199999570846558, 0.0, 74.44
3,1,32.87,1.75, 0.019999999552965164, 73.27
4,1,39.27,1.7300000190734863, 0.009999999776482582, 73.84
5,1,35.27,1.7799999713897705, 0.009999999776482582, 73.08
6,1,33.4,1.6799999475479126, -0.009999999776482582, 74.62
7,1,33.34,1.7000000476837158, 0.05000000074505806, 73.98
8,1,31.57,1.8600000143051147, 0.019999999552965164, 74.1
9,1,37.02,1.7699999809265137, 0.009999999776482582, 74.89
