seed,intermediate_domains,self_train_accuracy,weight_shift,sharpness,weight_norm
1,3,68.26,1.7799999713897705, 0.1899999976158142, 54.31
2,3,65.14,1.6200000047683716, 0.029999999329447746, 55.97
3,3,70.18,1.3899999856948853, 0.0, 58.34
4,3,69.22,1.3700000047683716, 0.07000000029802322, 52.38
5,3,69.93,1.4900000095367432, 0.05000000074505806, 49.85
5,3,69.93,1.4900000095367432, 0.05000000074505806, 49.85
6,3,66.92,1.6200000047683716, 0.10000000149011612, 55.03
7,3,65.52,1.590000033378601, 0.3100000023841858, 57.05
8,3,70.14,1.5800000429153442, -0.03999999910593033, 53.6
9,3,73.03,1.690000057220459, 0.33000001311302185, 54.92
10,3,71.46,1.6200000047683716, 0.009999999776482582, 52.27
11,3,64.46,1.6200000047683716, 0.05999999865889549, 53.13
12,3,71.21,1.7699999809265137, 0.15000000596046448, 56.38
13,3,70.75,1.590000033378601, 0.03999999910593033, 56.91
14,3,70.56,1.6299999952316284, 0.09000000357627869, 57.3
15,3,72.73,1.4199999570846558, 0.10999999940395355, 55.85
16,3,73.04,1.3600000143051147, 0.15000000596046448, 55.39
17,3,73.45,1.659999966621399, 0.009999999776482582, 57.24
18,3,68.64,1.7100000381469727, 0.05000000074505806, 52.36
19,3,67.78,1.7000000476837158, 0.029999999329447746, 53.4
