seed,intermediate_domains,self_train_accuracy,weight_shift,sharpness,weight_norm
0,10,73.13,0.7400000095367432, -0.029999999329447746, 50.29
1,10,72.2,0.5899999737739563, 0.009999999776482582, 47.65
2,10,68.95,0.7400000095367432, -0.009999999776482582, 46.51
3,10,69.37,0.6299999952316284, -0.019999999552965164, 51.76
4,10,72.28,0.6700000166893005, 0.019999999552965164, 51.13
5,10,70.38,0.6100000143051147, 0.0, 49.45
5,10,70.38,0.6100000143051147, 0.0, 49.45
6,10,68.06,0.7799999713897705, -0.009999999776482582, 50.46
7,10,74.11,0.6899999976158142, -0.0, 46.73
8,10,69.9,0.6899999976158142, 0.0, 50.35
9,10,72.45,0.7400000095367432, 0.029999999329447746, 44.96
10,10,76.49,0.6499999761581421, 0.009999999776482582, 48.07
11,10,69.05,0.6399999856948853, 0.009999999776482582, 52.56
12,10,68.03,0.7400000095367432, 0.009999999776482582, 49.27
13,10,73.03,0.6800000071525574, 0.029999999329447746, 52.0
14,10,68.11,0.7099999785423279, 0.05000000074505806, 53.39
15,10,71.96,0.6499999761581421, 0.0, 51.91
16,10,74.58,0.6299999952316284, 0.009999999776482582, 46.68
17,10,69.16,0.699999988079071, 0.03999999910593033, 50.23
18,10,71.88,0.7300000190734863, 0.019999999552965164, 46.76
19,10,70.94,0.6800000071525574, -0.0, 49.57
