seed,intermediate_domains,self_train_accuracy,weight_shift,sharpness,weight_norm
5,10,86.2,0.3199999928474426, 0.0, 12.83
6,10,85.85,0.3499999940395355, 0.0, 13.63
7,10,86.15,0.3400000035762787, 0.009999999776482582, 13.16
8,10,76.8,0.33000001311302185, -0.0, 12.07
9,10,84.3,0.3400000035762787, -0.0, 12.71
10,10,85.65,0.3499999940395355, -0.0, 12.62
11,10,82.75,0.3499999940395355, 0.0, 12.75
12,10,82.0,0.3700000047683716, 0.0, 12.26
13,10,80.85,0.3499999940395355, 0.0, 13.48
14,10,73.7,0.33000001311302185, -0.0, 12.49
15,10,86.1,0.3400000035762787, -0.0, 12.61
16,10,85.85,0.3499999940395355, 0.0, 12.89
17,10,82.45,0.33000001311302185, 0.0, 12.38
18,10,79.8,0.3499999940395355, 0.0, 13.42
19,10,84.3,0.3400000035762787, 0.0, 12.12
