seed,intermediate_domains,self_train_accuracy,weight_shift,sharpness,weight_norm
5,100,69.0,0.3499999940395355, 0.05999999865889549, 16.69
6,100,58.39,0.3799999952316284, 0.05000000074505806, 18.77
7,100,66.57,0.3700000047683716, 0.10999999940395355, 15.59
8,100,66.82,0.36000001430511475, 0.07000000029802322, 16.98
9,100,56.62,0.4000000059604645, 0.05999999865889549, 17.49
10,100,67.22,0.36000001430511475, 0.07999999821186066, 15.79
11,100,60.56,0.4099999964237213, 0.07999999821186066, 20.04
12,100,64.07,0.4099999964237213, 0.11999999731779099, 17.92
13,100,66.98,0.3799999952316284, 0.07999999821186066, 17.74
14,100,69.46,0.3400000035762787, 0.09000000357627869, 17.04
15,100,56.84,0.3700000047683716, 0.07999999821186066, 17.44
16,100,70.32,0.3499999940395355, 0.07000000029802322, 15.99
17,100,67.52,0.3499999940395355, 0.07000000029802322, 15.43
18,100,66.93,0.36000001430511475, 0.07000000029802322, 16.33
19,100,62.04,0.36000001430511475, 0.10999999940395355, 16.18
