seed,intermediate_domains,self_train_accuracy,weight_shift,sharpness,weight_norm
5,50,71.43,0.6399999856948853, 0.0, 19.65
6,50,66.96,0.6000000238418579, 0.0, 22.63
7,50,73.83,0.5799999833106995, 0.0, 20.49
8,50,73.51,0.550000011920929, 0.0, 20.4
9,50,76.1,0.6299999952316284, 0.0, 19.27
10,50,71.29,0.6600000262260437, 0.0, 20.04
11,50,68.53,0.5199999809265137, 0.0, 20.63
12,50,71.47,0.6000000238418579, 0.009999999776482582, 21.02
13,50,70.7,0.5600000023841858, 0.0, 23.37
14,50,70.72,0.5400000214576721, 0.009999999776482582, 22.23
15,50,72.28,0.5199999809265137, 0.0, 21.44
16,50,72.35,0.5299999713897705, 0.0, 21.31
17,50,70.81,0.5799999833106995, 0.0, 19.5
18,50,72.5,0.5799999833106995, 0.0, 20.71
19,50,68.92,0.550000011920929, 0.0, 20.6
