seed,intermediate_domains,self_train_accuracy,weight_shift,sharpness,weight_norm
1,2,71.49,1.5099999904632568, -0.0, 54.56
2,2,74.85,1.4199999570846558, 0.0, 56.45
3,2,71.42,1.5800000429153442, 0.14000000059604645, 56.21
4,2,72.65,1.7300000190734863, -0.0, 57.8
5,2,71.85,1.4199999570846558, 0.009999999776482582, 54.43
5,2,71.85,1.4199999570846558, 0.009999999776482582, 54.43
6,2,70.54,1.6799999475479126, -0.15000000596046448, 59.41
7,2,70.73,1.690000057220459, 0.10999999940395355, 56.65
8,2,70.49,1.7000000476837158, 0.019999999552965164, 53.9
9,2,73.17,2.0899999141693115, -0.0, 53.24
10,2,71.31,1.3600000143051147, 0.009999999776482582, 55.44
11,2,72.8,1.5700000524520874, -0.009999999776482582, 58.87
12,2,68.53,1.7100000381469727, 0.0, 57.75
13,2,73.55,1.590000033378601, 0.03999999910593033, 58.38
14,2,68.74,1.590000033378601, 0.009999999776482582, 58.92
15,2,67.88,1.7999999523162842, -0.009999999776482582, 60.39
16,2,69.18,1.6699999570846558, 0.019999999552965164, 54.37
17,2,71.56,1.75, 0.20999999344348907, 56.32
18,2,70.42,1.5099999904632568, 0.029999999329447746, 55.44
19,2,73.4,1.9199999570846558, 0.11999999731779099, 52.96
