seed,intermediate_domains,self_train_accuracy,weight_shift,sharpness,weight_norm
0,1,80.0,0.3700000047683716, 0.0, 9.43
1,1,69.15,0.7599999904632568, 0.0, 8.32
2,1,77.1,0.4000000059604645, -0.0, 8.35
3,1,81.0,0.3700000047683716, 0.0, 8.68
4,1,77.0,0.4699999988079071, -0.0, 8.59
0,1,78.9,0.47999998927116394, -0.009999999776482582, 8.45
1,1,82.4,0.38999998569488525, -0.23999999463558197, 8.29
2,1,81.65,0.6000000238418579, 0.0, 8.82
3,1,78.8,0.5299999713897705, -0.0, 8.69
4,1,70.35,0.6800000071525574, 0.0, 8.54
5,1,74.35,0.5899999737739563, 0.05000000074505806, 7.7
6,1,71.85,0.7200000286102295, -0.0, 8.83
7,1,78.7,0.47999998927116394, 0.0, 9.16
8,1,70.65,0.5899999737739563, 0.029999999329447746, 8.48
9,1,70.0,0.699999988079071, 0.0, 8.35
10,1,75.85,0.5199999809265137, 0.0, 9.22
11,1,79.6,0.6000000238418579, -0.0, 9.13
12,1,77.05,0.5899999737739563, 0.0, 9.13
13,1,82.45,0.3400000035762787, -0.0, 9.1
14,1,72.4,0.7200000286102295, 0.0, 8.42
