seed0with1gt2generated,34.15,47.45,34.15,45.2,0,0,0.17000000178813934
seed1with1gt2generated,28.65,39.3,28.65,36.05,0,0,0.18000000715255737
seed2with1gt2generated,27.35,41.25,27.35,38.85,0,0,0.20000000298023224
seed3with1gt2generated,33.05,51.45,33.05,47.55,0,0,0.15000000596046448
seed4with1gt2generated,10.05,19.45,10.05,30.45,0,0,0.17000000178813934
seed5with1gt2generated,28.3,64.45,28.3,55.65,0,0,0.1599999964237213
seed6with1gt2generated,43.1,60.25,43.1,63.85,0,0,0.12999999523162842
seed7with1gt2generated,34.85,58.95,34.85,45.35,0,0,0.1599999964237213
seed8with1gt2generated,26.25,32.55,26.25,54.35,0,0,0.1599999964237213
seed9with1gt2generated,39.1,9.8,39.1,48.05,0,0,0.14000000059604645
