seed,intermediate_domains,self_train_accuracy,weight_shift,sharpness,weight_norm
5,20,70.16,0.9100000262260437, 0.05000000074505806, 22.46
6,20,70.15,0.7599999904632568, 0.03999999910593033, 23.37
7,20,68.04,0.7900000214576721, 0.05999999865889549, 22.12
8,20,66.15,0.7900000214576721, 0.07000000029802322, 25.0
9,20,67.56,0.7599999904632568, 0.05000000074505806, 23.58
10,20,68.66,0.8299999833106995, 0.07000000029802322, 24.03
11,20,63.11,0.9399999976158142, 0.05000000074505806, 25.16
12,20,67.28,0.8600000143051147, 0.05999999865889549, 23.72
13,20,70.1,0.7599999904632568, 0.05000000074505806, 24.51
14,20,69.62,0.8600000143051147, 0.05999999865889549, 23.06
15,20,70.68,0.8100000023841858, 0.07999999821186066, 21.82
16,20,69.1,1.0, 0.05999999865889549, 22.82
17,20,67.17,0.8600000143051147, 0.05000000074505806, 23.4
18,20,68.13,0.9200000166893005, 0.05999999865889549, 21.87
19,20,63.7,0.8299999833106995, 0.05000000074505806, 24.14
