seed,intermediate_domains,self_train_accuracy,weight_shift,sharpness,weight_norm
1,3,73.72,1.059999942779541, 0.009999999776482582, 54.44
2,3,69.92,1.149999976158142, 0.0, 56.15
3,3,67.38,1.1100000143051147, -0.009999999776482582, 57.11
4,3,68.54,1.3600000143051147, -0.0, 58.22
5,3,70.13,1.1399999856948853, 0.009999999776482582, 54.22
5,3,70.13,1.1399999856948853, 0.009999999776482582, 54.22
6,3,70.53,1.3799999952316284, 0.019999999552965164, 58.79
7,3,71.89,1.2699999809265137, 0.0, 55.94
8,3,72.9,1.0299999713897705, -0.019999999552965164, 55.55
9,3,72.03,1.2999999523162842, 0.029999999329447746, 55.4
10,3,73.51,1.1699999570846558, 0.009999999776482582, 55.32
11,3,71.17,1.0800000429153442, -0.09000000357627869, 58.91
12,3,71.67,1.2100000381469727, -0.0, 57.53
13,3,71.79,1.0700000524520874, -0.009999999776482582, 57.6
14,3,69.1,1.1100000143051147, 0.0, 59.12
15,3,71.71,1.2999999523162842, -0.09000000357627869, 58.61
16,3,66.94,1.3899999856948853, 0.07000000029802322, 55.44
17,3,72.15,1.1399999856948853, 0.0, 55.56
18,3,73.35,1.2599999904632568, 0.0, 55.85
19,3,69.67,1.1699999570846558, 0.009999999776482582, 55.23
