seed,intermediate_domains,self_train_accuracy,weight_shift,sharpness,weight_norm
5,100,65.14,0.5899999737739563, 0.0, 18.64
6,100,72.67,0.6600000262260437, 0.009999999776482582, 17.71
7,100,65.5,0.6399999856948853, 0.0, 18.85
8,100,73.51,0.7200000286102295, 0.0, 18.11
9,100,71.65,0.6399999856948853, 0.009999999776482582, 17.23
10,100,68.69,0.6800000071525574, 0.0, 19.22
11,100,72.32,0.6499999761581421, 0.009999999776482582, 17.76
12,100,69.07,0.6200000047683716, 0.009999999776482582, 18.47
13,100,71.33,0.5600000023841858, 0.009999999776482582, 19.19
14,100,71.24,0.5899999737739563, 0.0, 19.5
15,100,71.92,0.5899999737739563, 0.009999999776482582, 18.39
16,100,70.31,0.5699999928474426, 0.009999999776482582, 17.35
17,100,71.49,0.550000011920929, 0.019999999552965164, 18.21
18,100,72.41,0.7699999809265137, 0.009999999776482582, 18.08
19,100,70.07,0.6200000047683716, 0.009999999776482582, 18.4
