seed,intermediate_domains,self_train_accuracy,weight_shift,sharpness,weight_norm
0,1,77.2,0.8700000047683716, 0.009999999776482582, 58.25
1,1,92.3,0.7799999713897705, 0.0, 59.37
2,1,75.7,0.8600000143051147, -0.009999999776482582, 60.92
3,1,22.65,2.950000047683716, -0.05000000074505806, 60.05
4,1,95.9,0.7699999809265137, 0.0, 57.67
5,1,61.85,1.440000057220459, -0.17000000178813934, 60.47
6,1,44.7,1.6299999952316284, 0.07999999821186066, 58.36
7,1,68.0,1.0, 0.05999999865889549, 59.43
8,1,95.75,0.8899999856948853, -0.009999999776482582, 57.87
9,1,69.75,1.0099999904632568, 0.029999999329447746, 60.2
