seed,intermediate_domains,self_train_accuracy,weight_shift,sharpness,weight_norm
1,5,70.71,1.3300000429153442, 0.05999999865889549, 51.81
2,5,68.33,0.9599999785423279, 0.0, 55.37
3,5,65.49,1.159999966621399, 0.23000000417232513, 54.52
4,5,68.62,0.949999988079071, 0.019999999552965164, 54.3
5,5,69.47,1.2200000286102295, 0.009999999776482582, 48.56
5,5,69.47,1.2200000286102295, 0.009999999776482582, 48.56
6,5,73.79,1.149999976158142, 0.18000000715255737, 53.47
7,5,62.63,1.149999976158142, 0.05999999865889549, 52.99
8,5,70.18,1.190000057220459, 0.07999999821186066, 55.2
9,5,70.51,1.2699999809265137, 0.10000000149011612, 49.96
10,5,66.26,0.9399999976158142, 0.029999999329447746, 56.5
11,5,63.31,1.25, 0.1599999964237213, 53.12
12,5,67.83,1.1799999475479126, 0.05999999865889549, 55.54
13,5,69.81,1.090000033378601, 0.07999999821186066, 55.6
14,5,70.17,1.2100000381469727, 0.019999999552965164, 54.75
15,5,68.9,1.0499999523162842, 0.12999999523162842, 55.23
16,5,71.19,1.2000000476837158, 0.25, 49.38
17,5,65.45,1.100000023841858, 0.07999999821186066, 60.13
18,5,70.35,1.149999976158142, 0.009999999776482582, 48.86
19,5,67.98,1.1699999570846558, 0.07999999821186066, 51.49
