seed,intermediate_domains,self_train_accuracy,weight_shift,sharpness,weight_norm
0,5,51.75,1.0199999809265137, 0.009999999776482582, 62.32
1,5,54.72,1.0, 0.009999999776482582, 65.58
2,5,60.66,1.0099999904632568, -0.009999999776482582, 65.1
0,5,46.17,1.059999942779541, -0.009999999776482582, 62.9
1,5,52.71,0.9700000286102295, 0.009999999776482582, 65.35
2,5,58.59,1.0499999523162842, 0.0, 64.32
3,5,57.8,1.0299999713897705, -0.0, 65.29
4,5,56.5,1.0199999809265137, -0.0, 66.28
5,5,59.08,1.0, 0.0, 65.18
6,5,49.3,1.0199999809265137, 0.0, 65.97
7,5,53.63,0.9700000286102295, 0.03999999910593033, 64.92
8,5,46.54,1.0199999809265137, 0.0, 65.09
9,5,51.41,1.0099999904632568, 0.0, 64.3
10,5,48.19,0.9700000286102295, -0.009999999776482582, 64.71
11,5,54.49,1.0099999904632568, -0.0, 66.86
12,5,46.1,1.0, -0.0, 65.08
13,5,56.59,1.0199999809265137, -0.0, 66.27
14,5,63.76,0.9700000286102295, 0.0, 65.57
15,5,48.57,0.9900000095367432, 0.009999999776482582, 66.53
16,5,52.02,1.0299999713897705, 0.009999999776482582, 65.69
