seed,intermediate_domains,self_train_accuracy,weight_shift,sharpness,weight_norm
0,10,68.18,0.800000011920929, 0.11999999731779099, 40.9
1,10,65.22,0.8100000023841858, 0.17000000178813934, 42.57
2,10,76.3,0.7799999713897705, 0.1899999976158142, 38.79
3,10,75.48,0.8299999833106995, 0.029999999329447746, 39.64
4,10,69.72,0.8100000023841858, 0.05999999865889549, 38.76
5,10,72.85,0.8199999928474426, 0.14000000059604645, 42.75
5,10,72.85,0.8199999928474426, 0.14000000059604645, 42.75
6,10,66.75,0.8100000023841858, 0.11999999731779099, 39.52
7,10,69.47,0.7900000214576721, 0.3100000023841858, 45.56
8,10,72.58,0.800000011920929, 0.23000000417232513, 46.06
9,10,70.96,0.8700000047683716, 0.10999999940395355, 39.69
10,10,66.33,0.7699999809265137, -0.05000000074505806, 42.67
11,10,73.24,0.7400000095367432, 0.05000000074505806, 41.63
12,10,69.78,0.8799999952316284, -0.029999999329447746, 38.74
13,10,68.47,0.8199999928474426, 0.07999999821186066, 47.51
14,10,70.94,0.8399999737739563, 0.03999999910593033, 43.59
15,10,70.58,0.800000011920929, 0.20000000298023224, 39.4
16,10,70.83,0.800000011920929, 0.07000000029802322, 41.19
17,10,72.49,0.8100000023841858, 0.03999999910593033, 43.25
18,10,69.78,0.7699999809265137, 0.11999999731779099, 40.53
19,10,66.46,0.9100000262260437, 0.03999999910593033, 37.33
